GEO_ID,County,State,Households_total
0500000US45083,Spartanburg,South Carolina,121256
0500000US45085,Sumter,South Carolina,44105
0500000US45091,York,South Carolina,108400
0500000US46099,Minnehaha,South Dakota,81046
0500000US46103,Pennington,South Dakota,44676
0500000US47001,Anderson,Tennessee,30175
0500000US47009,Blount,Tennessee,50813
0500000US47011,Bradley,Tennessee,39992
0500000US47037,Davidson,Tennessee,289427
0500000US47059,Greene,Tennessee,28323
0500000US47065,Hamilton,Tennessee,148157
0500000US47093,Knox,Tennessee,191925
0500000US47113,Madison,Tennessee,38930
0500000US47119,Maury,Tennessee,37104
0500000US47125,Montgomery,Tennessee,76974
0500000US47141,Putnam,Tennessee,31778
0500000US47147,Robertson,Tennessee,26577
