t,A,B,C,D,E,F,G
1.045,0.240936,0.089305743,0.001810114,0.11444034,0.000716736,0.234167313,0.493545205
1.05,0.240401852,0.089676247,0.001866127,0.115305518,0.000698434,0.232921738,0.493361027
1.055,0.239726443,0.090311875,0.00189957,0.116740873,0.000719588,0.232335154,0.493161031
1.06,0.23889054,0.091309598,0.001891332,0.118589967,0.000808677,0.232244956,0.492976957
1.065,0.23798508,0.092478963,0.001872425,0.12023503,0.000908893,0.232414971,0.492814158
1.07,0.237114373,0.09359099,0.001925615,0.12100719,0.000951951,0.232600305,0.492673771
1.075,0.236270377,0.09454099,0.002025671,0.12093629,0.000904539,0.232641192,0.492536816
1.08,0.235287487,0.095398581,0.00199591,0.121032029,0.000782388,0.23249724,0.492356102
1.085,0.234396237,0.096245543,0.001662121,0.12231205,0.00060595,0.232151523,0.492085756
1.09,0.233685053,0.097148234,0.001093179,0.12464309,0.00041423,0.231843163,0.491740277
1.095,0.232945613,0.09815983,0.00056575,0.126908099,0.000262092,0.232030149,0.491385769
1.1,0.232222994,0.09932411,0.000330843,0.12811892,0.000197591,0.23311643,0.491083151
1.105,0.231562274,0.100606556,0.000357167,0.128688757,0.000204882,0.234972782,0.490833566
1.11,0.231008532,0.101932243,0.000467743,0.129754015,0.000235143,0.237194832,0.490607311
1.115,0.230375992,0.103249149,0.000515217,0.132146931,0.000247848,0.239400582,0.490376915
1.12,0.230450277,0.104617191,0.000500739,0.135205892,0.000243727,0.241326839,0.490126914
1.125,0.231386359,0.106129835,0.00047009,0.137820797,0.000235909,0.242746345,0.489845459
1.13,0.232785978,0.107810714,0.000456989,0.139324158,0.000233586,0.243581436,0.489526712
1.135,0.232815822,0.109491809,0.000462028,0.14026325,0.000235142,0.244164913,0.489181321
1.14,0.229418869,0.110974981,0.00048006,0.141387544,0.000237143,0.244898327,0.488822784
1.145,0.221915489,0.112229126,0.000498534,0.143152767,0.000237643,0.246113204,0.488467662
1.15,0.211859753,0.113494025,0.000492896,0.145538288,0.000237102,0.248027505,0.48813748
1.155,0.201009805,0.115021888,0.000440362,0.148467067,0.000236201,0.250818822,0.487851565
1.16,0.191121681,0.116788529,0.000382484,0.151573702,0.000235647,0.253992611,0.487569705
1.165,0.183949333,0.118497334,0.000424227,0.154208565,0.000236172,0.256391827,0.487193011
1.17,0.181033801,0.119869867,0.000651748,0.155809478,0.000241835,0.256982763,0.486625765
1.175,0.181677223,0.120940329,0.000925121,0.156860907,0.000291718,0.256324417,0.485831774
1.18,0.18384165,0.121930047,0.000969094,0.15847378,0.000445865,0.255929094,0.484810476
1.185,0.185788539,0.123000916,0.000624149,0.161426493,0.000722467,0.257028676,0.483573495
1.19,0.187584297,0.12396261,0.000399078,0.164558905,0.000900186,0.259187658,0.482199022
1.195,0.189932191,0.124500532,0.001038437,0.166026987,0.000673237,0.26138217,0.480788727
1.2,0.193131358,0.124413159,0.002985833,0.164774786,2.46E-05,0.262815908,0.479418649
